time,open,high,low,close,volume
2023-03-10 20:00:00,248.84,249.2,248.72,249.15,5800
2023-03-10 19:00:00,249.2,249.2,248.98,248.98,2251
2023-03-10 18:00:00,250.09,250.1,248.59,249.16,7249
2023-03-10 17:00:00,248.59,250.89,248.3,249.98,1092904
2023-03-10 16:00:00,249.6,249.85,247.6,248.6,4387325
2023-03-10 15:00:00,247.805,250.1,247.77,249.6,2980891
2023-03-10 14:00:00,249.83,250.44,247.78,247.82,2453378
2023-03-10 13:00:00,250.805,251.44,249.78,249.82,2267741
2023-03-10 12:00:00,252.21,252.79,250.52,250.8,3459631
2023-03-10 11:00:00,248.76,252.39,248.73,252.24,4660917
2023-03-10 10:00:00,253.11,253.5,247.77,248.67,3174458
2023-03-10 09:00:00,252.29,254.9726,250.0,253.1,202032
2023-03-10 08:00:00,252.26,252.3,251.22,251.76,12539
2023-03-10 07:00:00,251.55,252.83,250.71,252.7,32921
2023-03-10 06:00:00,252.23,252.75,251.2,251.2,10316
2023-03-10 05:00:00,251.6,252.65,251.4,251.89,16455
2023-03-09 20:00:00,251.75,251.98,251.25,251.45,23028
2023-03-09 19:00:00,252.11,252.11,251.11,251.66,13464
2023-03-09 18:00:00,252.12,252.75,252.06,252.1,18999
2023-03-09 17:00:00,252.27,252.8,251.81,252.32,747206
2023-03-09 16:00:00,253.6,253.74,251.58,252.28,5230768
2023-03-09 15:00:00,254.07,254.46,252.92,253.56,2700582
2023-03-09 14:00:00,256.63,256.88,253.76,254.1043,2604615
2023-03-09 13:00:00,258.2,258.3,256.13,256.62,2392392
2023-03-09 12:00:00,258.51,259.0,256.5,258.18,2486339
2023-03-09 11:00:00,258.02,259.56,257.77,258.51,3788896
2023-03-09 10:00:00,255.34,258.32,254.96,258.0092,3164726
2023-03-09 09:00:00,252.16,255.2,252.0,255.01,106204
2023-03-09 08:00:00,252.54,252.62,252.2,252.4,9582
2023-03-09 07:00:00,252.3,252.42,252.15,252.42,4969
2023-03-09 06:00:00,252.11,252.28,251.81,252.28,5082
2023-03-09 05:00:00,252.75,252.75,252.02,252.02,6157
2023-03-08 20:00:00,253.41,253.41,252.42,252.51,14477
2023-03-08 19:00:00,253.7,253.7,253.41,253.64,10594
2023-03-08 18:00:00,253.85,253.85,253.7,253.71,43659
2023-03-08 17:00:00,253.7,253.93,253.53,253.93,385360
2023-03-08 16:00:00,252.58,253.96,252.01,253.75,2781094
2023-03-08 15:00:00,251.815,253.34,251.67,252.575,1449725
2023-03-08 14:00:00,252.6,252.81,251.45,251.83,1370322
2023-03-08 13:00:00,253.73,253.8999,251.79,252.6,1475642
2023-03-08 12:00:00,252.36,253.84,251.56,253.72,2017321
2023-03-08 11:00:00,252.25,253.03,250.81,252.35,3351642
2023-03-08 10:00:00,253.456,254.5417,252.2,252.28,2399619
2023-03-08 09:00:00,254.9972,255.3,252.81,253.31,76889
2023-03-08 08:00:00,254.81,255.1,253.49,253.66,23627
2023-03-08 07:00:00,255.16,255.49,254.82,255.09,4116
2023-03-08 06:00:00,254.6,255.01,254.6,254.95,2971
2023-03-08 05:00:00,254.5,254.5,254.15,254.41,2639
2023-03-07 20:00:00,254.58,254.58,254.15,254.25,10349
2023-03-07 19:00:00,254.44,254.7,254.44,254.57,8616
2023-03-07 18:00:00,254.51,254.51,254.39,254.39,6828
2023-03-07 17:00:00,254.15,254.78,254.15,254.46,937038
2023-03-07 16:00:00,253.49,254.38,253.39,254.16,3566578
2023-03-07 15:00:00,254.36,254.722,253.43,253.485,1529965
2023-03-07 14:00:00,255.45,255.55,254.07,254.37,2069746
2023-03-07 13:00:00,254.69,256.34,254.61,255.47,1995224
2023-03-07 12:00:00,254.74,255.72,254.51,254.72,2240780
2023-03-07 11:00:00,256.87,256.87,254.04,254.705,3889456
2023-03-07 10:00:00,257.61,257.69,256.0,256.92,1926556
2023-03-07 09:00:00,257.2481,258.4,257.0,257.68,673000
2023-03-07 08:00:00,257.08,257.25,256.85,257.15,11049
2023-03-07 07:00:00,257.45,257.45,256.99,256.99,4619
2023-03-07 06:00:00,257.25,257.43,257.25,257.43,1755
2023-03-07 05:00:00,257.64,257.64,257.14,257.14,2857
2023-03-06 20:00:00,256.85,256.93,256.7001,256.93,8387
2023-03-06 19:00:00,256.3,256.89,256.26,256.86,9731
2023-03-06 18:00:00,256.75,256.87,256.36,256.38,20694
2023-03-06 17:00:00,256.87,256.91,256.55,256.7,1772656
2023-03-06 16:00:00,257.68,257.81,256.66,256.9,3606604
2023-03-06 15:00:00,257.9884,258.515,257.53,257.6782,1672101
2023-03-06 14:00:00,258.44,258.7,257.76,257.97,1617152
2023-03-06 13:00:00,259.4,259.4,257.56,258.44,2350583
2023-03-06 12:00:00,259.29,260.12,258.925,259.38,2509866
2023-03-06 11:00:00,257.5316,259.89,257.14,259.29,3438189
2023-03-06 10:00:00,256.29,257.97,255.98,257.55,2668143
2023-03-06 09:00:00,255.373,256.83,254.652,256.12,63350
2023-03-06 08:00:00,255.45,255.73,255.4,255.51,18852
2023-03-06 07:00:00,255.65,256.18,254.91,255.25,13056
2023-03-06 06:00:00,255.19,255.65,255.19,255.65,2641
2023-03-06 05:00:00,255.98,255.99,254.75,254.75,22830
2023-03-03 20:00:00,255.5,255.55,255.44,255.55,14533
2023-03-03 19:00:00,255.46,255.52,255.4,255.5,1866
2023-03-03 18:00:00,255.46,255.54,255.39,255.4,10462
2023-03-03 17:00:00,255.29,255.55,255.07,255.54,4938777
2023-03-03 16:00:00,254.83,255.42,254.425,255.33,4881642
2023-03-03 15:00:00,254.91,255.62,254.6443,254.81,2077900
2023-03-03 14:00:00,254.95,255.42,254.72,254.89,1658080
2023-03-03 13:00:00,253.88,254.97,253.6,254.94,1763478
2023-03-03 12:00:00,254.1246,254.17,253.25,253.87,2426036
2023-03-03 11:00:00,254.38,255.25,253.23,254.1,3730489
2023-03-03 10:00:00,251.94,254.47,251.39,254.37,2760775
2023-03-03 09:00:00,251.94,252.1,250.483,251.94,331706
2023-03-03 08:00:00,251.95,252.0,250.9,250.98,27033
2023-03-03 07:00:00,252.01,252.32,251.2,251.82,11325
2023-03-03 06:00:00,251.5,251.93,251.5,251.9,6930
2023-03-03 05:00:00,251.87,251.95,251.12,251.44,8650
2023-03-02 20:00:00,250.99,251.11,250.6,250.95,19594
2023-03-02 19:00:00,250.78,250.89,250.7,250.85,4989
2023-03-02 18:00:00,250.92,250.92,250.6,250.9,11493
2023-03-02 17:00:00,251.11,251.11,250.76,250.99,911520
2023-03-02 16:00:00,250.03,251.4,249.815,251.11,4288551
2023-03-02 15:00:00,249.39,250.84,249.39,250.04,2775905
2023-03-02 14:00:00,247.34,249.41,246.86,249.39,2286041
