time,open,high,low,close,volume
2023-03-10 20:00:00,148.45,148.6,148.25,148.6,27162
2023-03-10 19:00:00,148.76,148.81,148.5,148.51,20665
2023-03-10 18:00:00,149.04,149.04,148.5,148.76,73479
2023-03-10 17:00:00,148.47,149.16,148.34,149.08,2058506
2023-03-10 16:00:00,148.66,148.77,147.6096,148.48,12204534
2023-03-10 15:00:00,148.2,149.0,147.84,148.65,8082360
2023-03-10 14:00:00,149.17,149.4,147.85,148.2,7436337
2023-03-10 13:00:00,149.86,150.05,149.0301,149.1697,5357419
2023-03-10 12:00:00,150.44,150.94,149.75,149.85,7696029
2023-03-10 11:00:00,149.79,150.5199,149.17,150.46,9653432
2023-03-10 10:00:00,151.04,151.5,148.89,149.775,8482212
2023-03-10 09:00:00,150.3,152.0,149.6,151.04,644845
2023-03-10 08:00:00,150.02,150.81,150.01,150.64,99199
2023-03-10 07:00:00,150.48,150.5,149.01,150.06,99268
2023-03-10 06:00:00,150.58,150.95,150.51,150.51,15984
2023-03-10 05:00:00,150.29,150.91,149.77,150.64,31177
2023-03-09 20:00:00,150.4,150.5,150.19,150.4,50112
2023-03-09 19:00:00,150.57,150.57,150.11,150.4,57253
2023-03-09 18:00:00,150.61,150.75,150.55,150.5623,206039
2023-03-09 17:00:00,150.54,150.7,150.37,150.6101,1227097
2023-03-09 16:00:00,151.31,151.41,150.225,150.55,11078773
2023-03-09 15:00:00,151.96,152.12,151.22,151.3025,6017065
2023-03-09 14:00:00,153.56,153.63,151.83,151.9513,5958269
2023-03-09 13:00:00,154.11,154.22,153.45,153.55,4784213
2023-03-09 12:00:00,153.88,154.4513,153.7,154.1,4704566
2023-03-09 11:00:00,154.295,154.535,153.63,153.8885,7275482
2023-03-09 10:00:00,153.65,154.385,152.9488,154.2949,6491818
2023-03-09 09:00:00,152.35,153.65,151.8615,153.65,344856
2023-03-09 08:00:00,152.3,152.66,152.22,152.52,83300
2023-03-09 07:00:00,151.97,152.39,151.97,152.24,18605
2023-03-09 06:00:00,151.87,151.99,151.73,151.91,8522
2023-03-09 05:00:00,152.16,152.3,151.86,151.86,28230
2023-03-08 20:00:00,152.95,152.99,152.25,152.65,46748
2023-03-08 19:00:00,153.0,153.0599,152.87,153.0,44557
2023-03-08 18:00:00,152.9499,153.04,152.87,153.02,51554
2023-03-08 17:00:00,152.87,152.98,152.79,152.93,735458
2023-03-08 16:00:00,152.51,153.26,152.07,152.89,8161088
2023-03-08 15:00:00,152.28,152.9896,152.23,152.5,3987920
2023-03-08 14:00:00,152.84,152.9401,152.05,152.29,4176831
2023-03-08 13:00:00,153.35,153.41,152.35,152.83,4691889
2023-03-08 12:00:00,152.6,153.47,152.35,153.34,5552332
2023-03-08 11:00:00,152.66,153.21,151.83,152.61,8799619
2023-03-08 10:00:00,152.19,153.1,152.08,152.65,6822224
2023-03-08 09:00:00,152.0212,152.34,151.06,152.25,300076
2023-03-08 08:00:00,151.92,152.1,151.63,151.94,83393
2023-03-08 07:00:00,151.87,152.2,151.84,152.0,49072
2023-03-08 06:00:00,151.7,151.89,151.62,151.79,8230
2023-03-08 05:00:00,151.5,151.94,151.5,151.6,11857
2023-03-07 20:00:00,151.69,151.75,151.37,151.43,33742
2023-03-07 19:00:00,151.57,151.75,151.57,151.64,27012
2023-03-07 18:00:00,151.57,151.64,151.53,151.53,17470
2023-03-07 17:00:00,151.6,151.72,151.45,151.5966,995567
2023-03-07 16:00:00,151.18,151.77,151.13,151.58,7976982
2023-03-07 15:00:00,151.82,152.04,151.14,151.1795,5115961
2023-03-07 14:00:00,152.42,152.69,151.74,151.83,5016049
